user_id,non_duplicate,hashtags_prop,hashtags_per_twt_prop,mentions_prop,n_unique_mentions,replies_prop,urls_prop,qt_prop,media_prop,count_RT,avg_engagement,avg_days_between_tweets
704,0.008912693889199932,0.0018681629112733474,0.009718663478525324,0.004125526429061977,0.762541288315064,0.003463885397985999,0.0009535414859624375,0.0007394811523790336,0.00021406033358340392,0.64591732657276,0.01973247075032474,0.02691322194053167
1155,0.034460588594044,0.03290986210731202,0.06524508036817363,0.0,0.0,0.0,0.02766539128065595,1.0768933935638751e-05,0.0048998649407156316,0.0,0.9957387074249014,0.034460588594044
1316,0.0004944421790070952,0.00013645781915034322,0.0005751694631177684,0.0003736382695854704,0.26058225487805975,7.60558644395308e-05,5.2654059996598246e-05,4.0795037474841886e-05,6.214127801400334e-05,0.9654193054511419,0.007838972007181245,0.0005059849609282714
942,0.0024924030656218866,2.7260658530239382e-05,0.003987844904995019,0.0007656350667207233,0.9969612262487546,0.0007321434005264292,0.00012462015328109434,4.673255748041037e-06,0.0015857914505019253,0.07726449503427849,0.007944534771669764,0.0031027874898558183
1077,0.00034632154204643114,8.203894397038979e-05,0.0006268445025002845,0.0003304997457092845,0.2809013441546146,5.3676909054912176e-05,6.563115517631183e-06,1.3009032543876096e-05,0.00013817702134441364,0.9597150062638969,0.006383567428827414,0.00037503517243606756
1149,0.0018536988470456365,0.0012833299710315945,0.0036142086663943085,0.00043125451601061716,0.8587993157544762,0.00033329482084153877,0.0001315789988365727,0.00011998613550295395,0.0006376074833490307,0.4025042149432426,0.3169100474489687,0.0017980767619490288
395,0.001365694146150583,0.001031731021079698,0.00504501295554933,0.00038706370080488883,0.9998706756392957,0.0006639766205417198,0.0004226103672053378,0.0,0.0009667815565455445,0.011234501973475232,0.010011872188393122,0.0014473019123992326
795,0.0014446360268230514,5.782157956014715e-05,0.0025184008284985966,0.00041197875436604843,0.6317007566946076,0.0001657853101451094,0.00037087122514750637,0.00031982561194206395,0.00033653966228366894,0.7733636266169681,0.053400035648157144,0.0015192915037487644
1467,0.006366284209300379,0.001222326568185673,0.00875364078778802,0.004889306272742692,0.4520061788603269,0.003565119157208213,0.0003565119157208212,0.0002546513683720152,0.0010695357471624638,0.2164536631162129,0.863981162612573,0.04709751073206913
853,0.0008239818125968376,0.000282391117893287,0.0037974813971854257,0.0005156707370225241,0.13842894451626872,5.593254025905681e-05,0.00011868612201312062,0.00010504403902310672,0.00022918699423223296,0.2850977071585058,0.948438535714734,0.0023542337502766787
